"IRF9"
"PARP12"
"MX1"
"LGALS3BP"
"STAT1"
"ISG15"
"OAS3"
"OAS2"
"C5orf56"
"IRF7"
"IFI35"
"OAS1"
"TRIM21"
"TRIM14"
"IFIT1"
"PLS3"
"DDX60L"
"IFIH1"
"UBA7"
"SLC15A3"
"HELZ2"
"CMPK2"
"TRIM67"
"MX2"
"IFI6"
